id,text,label,prompt,model,date
499,Human-written text sample 499: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-09-28
500,Human-written text sample 500: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-03-08
501,Human-written text sample 501: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-02-10
502,AI-generated content sample 502: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2025-02-26
503,Human-written text sample 503: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-12-06
504,Human-written text sample 504: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-12-19
505,AI-generated content sample 505: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2023-09-14
506,Human-written text sample 506: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-02-26
507,AI-generated content sample 507: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2025-07-04
508,AI-generated content sample 508: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-04-15
509,AI-generated content sample 509: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2023-11-30
510,AI-generated content sample 510: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2023-09-24
511,Human-written text sample 511: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-03-18
512,AI-generated content sample 512: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2025-05-10
513,Human-written text sample 513: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-09-29
514,Human-written text sample 514: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-01-15
515,AI-generated content sample 515: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2025-02-27
516,Human-written text sample 516: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-06-15
517,AI-generated content sample 517: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-11-19
518,Human-written text sample 518: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-09-10
519,Human-written text sample 519: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-07-12
520,Human-written text sample 520: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-01-09
521,AI-generated content sample 521: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2024-01-27
522,Human-written text sample 522: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-05-14
523,Human-written text sample 523: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-01-08
524,AI-generated content sample 524: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2023-08-18
525,AI-generated content sample 525: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-04-02
526,Human-written text sample 526: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-12-31
527,Human-written text sample 527: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-04-28
528,Human-written text sample 528: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-09-21
529,AI-generated content sample 529: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-09-20
530,Human-written text sample 530: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-04-25
531,Human-written text sample 531: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-01-18
532,AI-generated content sample 532: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-01-24
533,AI-generated content sample 533: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2024-11-27
534,AI-generated content sample 534: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-07-04
535,Human-written text sample 535: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-11-11
536,Human-written text sample 536: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-01-01
537,Human-written text sample 537: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-05-05
538,Human-written text sample 538: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-08-17
539,Human-written text sample 539: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-02-19
540,Human-written text sample 540: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-12-27
541,Human-written text sample 541: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-09-03
542,AI-generated content sample 542: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-09-26
543,AI-generated content sample 543: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-10-25
544,Human-written text sample 544: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-02-07
545,Human-written text sample 545: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-04-02
546,AI-generated content sample 546: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-05-23
547,AI-generated content sample 547: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-09-12
548,AI-generated content sample 548: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-10-18
549,AI-generated content sample 549: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2024-04-18
550,Human-written text sample 550: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-08-31
551,AI-generated content sample 551: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-03-24
552,AI-generated content sample 552: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2025-03-04
553,AI-generated content sample 553: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2025-04-11
554,Human-written text sample 554: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-08-20
555,AI-generated content sample 555: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-01-02
556,Human-written text sample 556: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-03-11
557,AI-generated content sample 557: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-01-18
558,Human-written text sample 558: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-22
559,AI-generated content sample 559: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-02-08
560,AI-generated content sample 560: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2023-12-28
561,Human-written text sample 561: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-07-20
562,AI-generated content sample 562: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-02-07
563,AI-generated content sample 563: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2023-08-14
564,AI-generated content sample 564: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-04-22
565,Human-written text sample 565: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-03-16
566,Human-written text sample 566: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-09-28
567,AI-generated content sample 567: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2023-10-29
568,AI-generated content sample 568: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2025-06-21
569,AI-generated content sample 569: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-10-03
570,Human-written text sample 570: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-01-01
571,Human-written text sample 571: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-11-24
572,Human-written text sample 572: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-01-28
573,Human-written text sample 573: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-09-19
574,Human-written text sample 574: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-07-31
575,AI-generated content sample 575: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2023-12-12
576,Human-written text sample 576: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-09-25
577,AI-generated content sample 577: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2025-05-08
578,Human-written text sample 578: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-05-30
579,Human-written text sample 579: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-12-07
580,AI-generated content sample 580: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-08-05
581,Human-written text sample 581: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-05-13
582,Human-written text sample 582: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-05-28
583,Human-written text sample 583: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-05-04
584,Human-written text sample 584: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-01-12
585,Human-written text sample 585: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-08-09
586,Human-written text sample 586: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-07-12
587,AI-generated content sample 587: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2023-09-03
588,AI-generated content sample 588: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-03-11
589,Human-written text sample 589: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-12-25
590,AI-generated content sample 590: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-05-15
591,Human-written text sample 591: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-09-10
592,AI-generated content sample 592: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2025-03-01
593,Human-written text sample 593: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-12-27
594,Human-written text sample 594: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-01-09
595,Human-written text sample 595: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-04-14
596,AI-generated content sample 596: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2024-12-07
597,AI-generated content sample 597: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-08-09
598,AI-generated content sample 598: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-10-14
599,AI-generated content sample 599: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2025-06-27
600,Human-written text sample 600: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-06-08
601,Human-written text sample 601: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-08-09
602,AI-generated content sample 602: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-07-09
603,AI-generated content sample 603: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2025-01-19
604,Human-written text sample 604: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-06-17
605,AI-generated content sample 605: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2023-09-01
606,AI-generated content sample 606: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-02-11
607,Human-written text sample 607: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-07-12
608,AI-generated content sample 608: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2023-09-22
609,Human-written text sample 609: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-05-23
610,Human-written text sample 610: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-06-26
611,AI-generated content sample 611: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2024-08-05
612,Human-written text sample 612: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-01-01
613,Human-written text sample 613: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-03-16
614,AI-generated content sample 614: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2024-07-01
615,AI-generated content sample 615: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-07-13
616,Human-written text sample 616: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-08-17
617,AI-generated content sample 617: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-10-04
618,Human-written text sample 618: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-03-18
619,AI-generated content sample 619: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2024-08-28
620,Human-written text sample 620: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-01-27
621,AI-generated content sample 621: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-09-17
622,AI-generated content sample 622: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2025-03-03
623,AI-generated content sample 623: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2025-02-04
624,AI-generated content sample 624: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2024-08-24
625,AI-generated content sample 625: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2023-11-04
626,AI-generated content sample 626: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-06-25
627,Human-written text sample 627: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-07-10
628,AI-generated content sample 628: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2024-02-19
629,AI-generated content sample 629: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-03-30
630,AI-generated content sample 630: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2025-07-14
631,AI-generated content sample 631: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2023-12-21
632,AI-generated content sample 632: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-02-13
633,AI-generated content sample 633: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-05-16
634,AI-generated content sample 634: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2025-04-26
635,AI-generated content sample 635: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-03-19
636,AI-generated content sample 636: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2025-04-15
637,AI-generated content sample 637: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-03-02
638,AI-generated content sample 638: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2025-03-08
639,Human-written text sample 639: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-12-17
640,AI-generated content sample 640: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-02-13
641,AI-generated content sample 641: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-10-22
642,Human-written text sample 642: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-12-23
643,AI-generated content sample 643: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-03-06
644,AI-generated content sample 644: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-12-11
645,Human-written text sample 645: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-02-09
646,Human-written text sample 646: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-01-01
647,AI-generated content sample 647: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-06-09
648,AI-generated content sample 648: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-08-28
649,AI-generated content sample 649: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-01-06
650,Human-written text sample 650: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-11-06
651,Human-written text sample 651: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-12-12
652,AI-generated content sample 652: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-07-08
653,AI-generated content sample 653: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-04-22
654,AI-generated content sample 654: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2023-09-23
655,AI-generated content sample 655: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2025-04-24
656,Human-written text sample 656: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-06-16
657,Human-written text sample 657: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-07-18
658,Human-written text sample 658: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-09-01
659,AI-generated content sample 659: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-09-01
660,AI-generated content sample 660: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-12-23
661,AI-generated content sample 661: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-10-31
662,Human-written text sample 662: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-04-17
663,AI-generated content sample 663: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-01-04
664,Human-written text sample 664: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-10-22
665,Human-written text sample 665: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-04-11
666,Human-written text sample 666: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-01-23
667,Human-written text sample 667: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-09-03
668,Human-written text sample 668: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-05-23
669,AI-generated content sample 669: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2025-07-19
670,Human-written text sample 670: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-04-16
671,Human-written text sample 671: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-07-07
672,Human-written text sample 672: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-01-11
673,AI-generated content sample 673: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2023-11-10
674,AI-generated content sample 674: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-03-31
675,Human-written text sample 675: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-11-08
676,Human-written text sample 676: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-01-31
677,AI-generated content sample 677: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2025-03-12
